,Abbreviation,Definition,URL,Info,TextBlob_Subjectivity,Vader_SentimentScore,no_of_abreviations
0,102PF,102 Petty France,,London headquarters of the Ministry of Justice,0,0.5267,0
1,10SC,10 South Colonnade,,London Government hub,0,0,0
2,1LS/2LS/3LS,"1st, 2nd or 3rd Line Support",,,0,0,0
6,A2J,Access to Justice,,,0,0,0
7,AA,Administrative Assistants,,,0,0,0
9,AAC,Administrative Appeals Court,,,0,0,0
10,Acas,"Advisory, Conciliation and Arbitration Service",,Aims to prevent and resolve employment disputes prior to employment tribunals.,0.333333333,0.1531,0
11,ACCT,"Assessment, Care in Custody and Teamwork",,Self-Harm document - replacement for 2052Sh Self-harm document.,0,0,0
12,ACL,Access Control List,,,0,0,0
14,ACPO,Association of Chief Police Officers,,,0,0,0
15,ACR,Automatic Conditional Release,,,0,0,0
16,AD,Active Directory,,,0,0,0
18,ADI,Application Desktop Integrator,,,0,0,0
20,ADR,Alternative dispute resolution,,"A method of resolving disputes outside court - for example, via mediation",0.05,0.128,0
21,ADR,Architectural design record,,,0,0,0
22,AEP,Accelerated Encryption Processing,,,0,0,0
24,AFK,Away From Keyboard,,,0,0,0
25,AGFS,Advocate Gradual Fees Scheme,,Fee scheme available to Barristers who work on Crown Court cases,0.4,0,0
26,AIS,Acceptance Into Service,,,0,0,0
27,AJAS,Access to Justice Analytical Services,,,0,0,0
28,AJTC,Administrative Justice Tribunals Council,,,0,0,0
29,ALB,Arm's-length body,https://www.gov.uk/guidance/public-bodies-reform#what-is-a-public-body,A specific category of central government public bodies that are administratively classified by the Cabinet Office.,0.147222222,0,0
30,ALM,Application Lifecycle Management,,,0,0,0
32,ALS,Action Learning Set,,,0,0,0
33,AMI,Amazon Machine Image,,,0,0,0
34,AO,Accommodation and Occupancy (also known as *A&O*),,,0,0,0
35,AO,Accounting Officer,,"Each organisation in central government must have an Accounting Officer, which is usually the senior official in the organisation.Accounting Officers must be able to assure Parliament and the public of high standards of probity in the management of public funds. The Treasury maintains policy oversight throughout. Departments and organisations should notify the Treasury Officer of Accounts, in advance, of any changes to Accounting Officer designations. There should be no gap between one Accounting Officer leaving and another being appointed.",0.299722222,0.4215,0
36,AO,Administrative Officer,,,0,0,0
37,AOB,Any Other Business,,,0,0,0
38,AOS,Acknowledgement of Service,,Document filed by a defendant confirming they've been served court documents.,0,0,0
39,AP,Approved Premises,,,0,0,0
40,AP,Analytical Platform,,,0,0,0
41,APD,Approved Parole Date,,,0,0,0
42,API,Application Programming Interface,,,0,0,0
43,APPG,All Party Parliamentary Group,,"APPGs are informal cross-party groups that have no official status within Parliament. They are run by and for Members of the Commons and Lords, though many choose to involve individuals and organisations from outside Parliament in their administration and activities.",0.275,-0.296,0
46,ARD,Automatic Release Date,,,0,0,0
47,ARMS,Active Risk Management System,,,0,0,0
49,ARV,Alcohol Related Violence,,Substance Misuse Programme (no longer running).,0,0,0
51,ASPIRE,Assess – Sentence Plan – Implement – Review – Evaluate,,This is the core framework of offender management/sentence planning,0,-0.3612,0
52,ASRO,Addressing Substance Related Offending,,Substance Misuse Programme (no longer running).,0,0,0
53,AT,Assisted Technology,,,0,0,0
55,ATO,Authority to operate,,,0,0,0
56,ATR,Alcohol Treatment Requirements,,,0,0,0
57,AVD,Azure Virtual Desktop,,,0,0,0
58,AWDL,Average Working Days Lost,,,0,0,0
59,AWS,Amazon Web Services,,,0,0,0
60,BA,Business Analyst or Business Admin,,,0,0,0
61,BAFO,Best And Final Offer,,,0,0,0
62,BAME,"Black, Asian and Minority Ethnic",,,0,0,0
65,BAU,Business as Usual,,,0,0,0
67,BCS,Basic Custody Screening,,,0,0,0
68,BCST,Basic Custody Screening Tool,,An assessment tool used for the management of people at the point they begin a custodial sentence.,0,0.0772,0
69,BDG,Business Development Group,,,0,0,0
70,BEIS,"Department for Business, Energy and Industrial Strategy",,"Merger between the Department of Business, Innovation and Skills and the Department of Energy and Climate Change",0,0.5719,0
71,BI,Business Intelligence,,,0,0,0
73,BIAR,Business Intelligence Archive,,Basically a proprietary zip file used to move Business Intelligence content from one BusinessObjects Enterprise Server to another,0,0.4767,0
76,BIP,Business Intelligence Platform,,,0,0,0
77,BIS,Department for Business Innovation & Skills,,,0,0,0
79,BNM,Becoming New Me,,A thinking skills programme for people with a learning disability,0,0,0
81,BOTUS,Breach of Top Up Supervision,,,0,0,0
82,BPSS,Baseline Personnel Security Standard,,The minimum level of clearance for someone working in the Civil Service.,0,0,0
84,BSR,Building Skills for Recovery,,Substance misuse programme,0,0,0
86,BWVC,Body Worn Video Camera,,"Cameras worn by Uniformed staff within prisons, to de-escalate & record incidents",0,-0.296,0
89,CA,Case Administrators,,"Staff based in Prisons or Probation offices, who manage the day to day admin of cases and records",0,0,0
90,CA,Citizen's Advice,,"Charity, funded largely by central and local government, that provides a one-stop non-specialist advice on many different issues.",0.3375,0.4215,0
91,CAFCASS,Children and Family Court Advisory and Support Service,,,0,0,0
92,CAIT,Child Abuse Investigation Team,,,0,0,0
93,CAIT,Child Arrangements Information Tool,,"Information resources to help separating couples make arrangements (custody, etc.) for their children.",0,0.4019,0
98,CARM,Civil Automatic Referral to Mediation,,A process automatically referring some Civil cases to mediation.,0,0,0
99,CAS,Community accommodation services,,,0,0,0
102,CAS-3,"The Community Accommodation Service, Tier 3",,A service providing transitional accommodation (84 nights) to people who are at risk of homelessness after leaving prison or another type of CAS,0,0,0
107,CBDT,Compact Based drug testing,,"Formerly known as Voluntary Drug Testing. Used as an incentive to keep prisoners drug-free, by them signing a compact to undertake regular drug testing and earning rewards based on remaining drug-free.",0.038461538,0.3182,0
108,CBO,crime billing online,,,0,0,0
110,CC,Carbon Copy,,,0,0,0
114,CCM,Commercial Contract Management,,,0,0,0
115,CCMCC,County Court Money Claims Centre,,,0,0,0
116,CCMD,Commercial and Contract Management Directorate,,,0,0,0
119,CCP,Corporate Change Portfolio,,,0,0,0
123,CCR,Court Custody Records,,,0,0,0
124,CCRC,Criminal Cases Review Commission,,,0,0,0
126,CCS,Crown Commercial Service,,,0,0,0
127,CDA,Court data adaptor,,,0,0,0
128,CDC,Change Data Capture,,,0,0,0
129,CDC,Change Directorate Committee,,,0,0,0
131,CDD,Criminal Defence Direct,,Telephone adviser run by a few providers.,0.1,0,0
133,CDM,HMPPS Contract Delivery Manager,,,0,0,0
134,CDO,Chief Digital Officer,,,0,0,0
135,CDPs,Crime & Drugs Partnership,,,0,0,0
136,CDT,Central Drafting Team,,In reference to ministerial correspondence,0,0,0
138,CEMLI,"Configuration, Extension, Modification, Localisation and Integration",,,0,0,0
139,CEO,Court enforcement officer,,,0,0,0
141,CFE,Check Financial Eligibility,,"A non-user facing service which calculates an applicant’s financial eligibility using data entered through Apply. This includes information on an applicant’s income and outgoings, and calculations include a range of different things in accordance with legal aid regulation based on what information is entered.",0.266666667,0.128,0
143,CFO,HMPPS Co-Financing Organisation,,The Co-Financing Organisation has delivered services to offenders in custody and the community since January 2010. Services are delivered via contracted prime providers,0,-0.3612,0
146,CHAPS,Correspondence Handling And Processing System,,,0,0,0
148,CHS,Case Handling System,,Set of applications used by the Civil Legal Aid Operator Contact Centre and Specialist Legal Providers to manage Civil Legal Aid cases opened by members of the public in England and Wales.,0.166666667,0.3612,0
150,CIPD,Chartered Institute of Personnel & Development,,,0,0,0
151,CIRASS,"Community Interventions, Residential and Accommodation Support Service",,,0,0,0
154,CJAS,Criminal Justice Analytical Service,,,0,0,0
155,CJG,Criminal Justice Group,,,0,0,0
157,CJIT,Criminal Justice Information Technology,,,0,0,0
161,CJX,Criminal justice eXtranet,,links police pnn network to other govt networks,0.375,0,0
163,CLA,Civil Legal Aid,,,0,0,0
165,CMAC,Court Martial Appeals Court,,,0,0,0
166,CMT,Contract Management Team,,,0,0,0
169,CO,Community Order,,,0,0,0
170,COACD,Court of Appeal Criminal Division,,,0,0,0
171,COBR,Cabinet Office Briefing Room,,,0,0,0
173,COE,Center of Excellence,,Microsoft Power Platform management tooling,0,0,0
176,COM,Community Offender Managers,,A role within the National Probation Service,0,0,0
177,COM,Court Operations Manager,,,0,0,0
178,COM-B,"Capability, Opportunity, and Motivation Behaviour",,,0,0,0
179,COPs,Contracted Out Prisons,,Privately run establishments,0.375,0,0
180,Core SOTP,Core Sex Offender Treatment Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
181,COTS,Commercial off-the-shelf,,"A software and/or hardware product that is commercially ready-made and available for sale, lease, or license to the general public. ",0,0,0
182,COVAID,Control of Violence for Angry Impulsive Drinkers,,Substance Misuse Programme,0,0,0
184,CP,Cloud Platform,,The MoJ Cloud Platform is a modern hosting platform for digital services,0.15,0,0
185,CP,Core Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
187,CPIG,Crown Prosecution Inspectorate Group,,Fire Safety,0,0.1027,0
188,CPM,Child Protection Management,,,0,0,0
189,CPO,Chief Probation Officer,,,0,0,0
190,CPO,Community Probation Officer,,,0,0,0
191,CPO,Community Punishment Order,,,0,0,0
192,CPP,common platform project,,,0,0,0
193,CPR,Civil Procedure Rule,,A rule covering how Civil litigation proceeds in the courts.,0,-0.2023,0
194,CPR,Criminal Procedure Rules,,,0,0,0
196,CPRC,Civil Procedure Rule Committee,,,0,0,0
199,CR,Change Request,,,0,0,0
200,CRAMS,Case Reporting And Management System,,Person on probation caseload data (Probation),0,0,0
202,CRC,Community Rehabilitation Company,,"Organisations that will deliver probation services from 2014, replacing probation trusts.",0,0.4767,0
203,CRD,Conditional Release Date,,,0,0,0
204,CRDS,Calculate Release Dates Service,,,0,0,0
205,CRE,Commission for Racial Equality,,,0,0,0
209,CRN,Case Reference Number,,The number assigned to a person on probation in NDelius - the word case is misleading,0,-0.34,0
210,CRO,Community Responsible Officer,,Equivalent of a Community Offender Manager but in CRCs,0,-0.1901,0
212,CRO,Community Rehabilitation order,,,0,0,0
213,CRP,Conference Room Pilot,,,0,0,0
214,CRS,Commissioned Rehabilitative Services,,Rehabilitation and resettlement interventions procured through the Dynamic Framework - the mechanism to procure rehabilitation and resettlement interventions in regional areas,0.166666667,0.3818,0
215,CS,Case Supervisor,,,0,0,0
216,CSAAP,Correctional Services Accreditation and Advice Panel,,,0,0,0
217,CSAT,Customer Satisfaction,,,0,0,0
220,CSC,Central Services Centre,,,0,0,0
224,CSL,Civil Service Learning,,Training courses for civil servants.,0,0,0
225,CSOGP,Community Sex Offender Group Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
229,CSV,Community Service Volunteer,,,0,0,0
231,CTS,Core Technology Services team,,,0,0,0
232,CTSA2021,Counter Terrorism and Sentencing Act 2021,,,0,0,0
233,CTSC,Courts and Tribunals Service Centre,,,0,0,0
237,CVCC,Court Video Conference Centre,,,0,0,0
238,CVL,Create and Vary a Licence,,"New Digital Service, currently in development to replace and improve on the current Licence creation & editing process carried out in the Legacy system, NOMIS. Allows users from prisons and probation to collaborate on the licence management of prisoners being released into the community",0,0,0
242,DYO,Deter Young Cohort Offender,,,0,0,0
243,DAAT,Drugs & Alcohol Action Team,,,0,0,0
244,DAC,Digital Accessibility Centre,,An org who do accessibility testing and consultancy on digital services,0,0,0
245,DACU,Data Access and Compliance Unit,,,0,0,0
247,DARTS,Digital Audio Recording and Transcription Service,,System for recording courts and allowing transcription agencies to listen to and upload transcriptions.,0,0,0
248,DARU,Data Assurance Reporting Unit,,,0,0,0
249,DASD,Data & Analytical Services Division,,,0,0,0
250,DASHRAS,Data Science And HR Analytical Services,,,0,0,0
252,DBS,Defence Business Services,,,0,0,0
253,DBS,Disclosure and Barring Service,,"Organisation that maintains records and helps determine if someone should be prevented from working in a regulated activity, for example working with children.",0,0.4019,0
255,DCF,Digital Case File,,An attempt at creating end-to-end digital/modern justice system from Police -> Crown Prosecution Service -> Courts -> Prisons -> Probation,0,0.34,0
256,DCMF,"Designed, Constructed, Managed & Financed",,,0,0,0
257,DCR,Discretional Conditional Release,,,0,0,0
258,DD,Deputy Director,,,0,0,0
259,DDA,Disability Discrimination Act 1995,,,0,0,0
260,DDaT,"Digital, Data and Technology",,,0,0,0
261,DDC,Deputy Director of Custody,,Regional responsibilty for a group of prisons,0,0,0
262,DDC,Digital Document Conversion,,,0,0,0
263,DDDCC,Data Driven Department and Culture Change,,,0,0,0
264,DDJ,Deputy District Judge,,A judge who sits for between 15 to 50 days a year in the County Courts,0,0,0
266,DFD,Data Flow Diagram,,,0,0,0
269,DGAB,Data Governance Assurance Board,,,0,0,0
270,DHSC,Department of Health and Social Care,,"The Department of Health and Social Care leads, shapes and funds health and social care in England.",0.066666667,0.7506,0
271,DIB,Divisional Implementation Board,,,0,0,0
272,DIC,Death in custody,,"A term used when an person dies in custody, either police, court, prison or when released on licence. Covers all forms of death - self inflicted, overdoses, natural causes, due to illness, murder etc.",0,0,0
273,DID,Drink Impaired Drivers,,Substance Misuse Programme,0,0,0
277,DISO,Digital Infrastructure Security Operations,,,0,0,0
278,DIWG,Data Integrity Working Group,,Looking at data and/or recording issues in Probation,0,0,0
280,DLP,Data Loss Prevention,,,0,0,0
281,DOM,Director of Offender Management,,,0,0,0
282,DOM1/Dom1,Domain 1,,End-user compute and networking solution,0,0.3182,0
283,DPA,Data Protection Act,,,0,0,0
284,DPIA,Data Protection Impact assessment,,,0,0,0
285,DPR,Digital Prison Reporting,,,0,0,0
286,DPRRD,Detention Post Recall Release Date,,,0,0,0
289,DQ,Directions Questionnaire,,Form sent to claimants and defendants in small claim cases so the judge can give instructions,0.4,0,0
290,DQ,Data Quality,,,0,0,0
292,DR,Disaster Recovery,,,0,0,0
294,DRR,Drug Rehabilitation Requirement,,,0,0,0
297,DSA,Data Sharing Agreement,,,0,0,0
299,DSCC,Defence Solicitor Call Centre,,The call centre service that police use to provide a solicitor for people in custody.,0,0,0
300,DSD,Digital Service Designers,,,0,0,0
302,DSDS,Defence Solicitor Deployment Service,,,0,0,0
303,DSF,Digital Services Framework,,A framework for procuring software development teams across government,0,0,0
304,DSG,Digital Steering Group,,,0,0,0
306,DSO,Defence & Security Organisation,,,0,0,0
307,DSO,Deskside Support Officer,,,0,0,0
308,DSO,Digital Studio Operations,,Slack Channel - #ask-digital-studio-ops,0,0,0
309,DSOs,Departmental Strategic Objectives,,,0,0,0
310,DSRG,Data Standards Reporting Group,,,0,0,0
312,DST,Designated Search Team,,,0,0,0
314,DTO,Detention Training Order,,,0,0,0
315,DTRG,Digital Technology Review Group,,,0,0,0
316,DTTO,Drug Treatment and Testing Orders,,,0,0,0
317,DV,Developed Vetting,,Level of Security Clearance,0,0.34,0
321,DYOI,Detention in a Young Offender Institution,,,0,0,0
322,E3,"Effectiveness, Efficiency and Excellence",,The change programme that will design and implement a new operation model for the National Probation Service,0.454545455,0,0
324,EAT,Employment Appeal Tribunal,,,0,0,0
326,ECHR,European Convention on Human Rights,,An international treaty to protect human rights and fundamental freedoms in Europe.,0.05,0.5859,0
328,ECS,Elastic Container Service,,,0,0,0
330,EDM,Exceptional Delivery Model,,,0,0,0
331,EDR,Earliest Date of Release,,,0,0,0
333,EDS,Extended Determinate Sentence,,,0,0,0
335,EDS100,Extended Determinate Sentence imposed for certain Terrorism Offences,,,0,0,0
340,EM,Escort Manager,,,0,0,0
341,EMAP,Email a Prisoner,,,0,0,0
342,EMED,Electronic Monitoring Eligibility Date,,,0,0,0
345,EMT,Equalities Monitoring Tool,,,0,0,0
346,EOI,Expression of Interest,,Recruitment method that can sometimes be utilised. Ie. filling short-term vacancies with internal staff,0,0,0
347,EP,Extended Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
348,EPAW,Express Prior Authority in Writing,,Related to the disclosure of military service,0.25,0,0
350,EPICK,"Event, Problem, Incident, Continual Service Improvement and Knowledge Team",,,0,0,0
351,EQUIP,Excellence and Quality in Probation Processes,,,0,0,0
352,ERMP,Exceptional Regime Management Plan,,,0,0,0
353,ERP,Enterprise Resource Planning,,,0,0,0
354,ERS,Early Removal Scheme,,,0,0,0
355,ERSED,Early Removal Scheme Eligibility Date,,,0,0,0
357,ESED,Effective Sentence End Date,,,0,0,0
359,ESL,Effective Sentence Length,,Representation of sentence length as a single period term,0.214285714,0.0772,0
360,ESOL,English for Speakers of Other Languages,,,0,0,0
361,ESPP,Extended Sentence for Public Protection,,,0,0,0
363,ET,Employment Tribunal,,,0,0,0
364,ETD,Early Transfer Date for Detention and Training Orders (DTO),,,0,0,0
365,ETE,"Education, Training & Employment",,,0,0,0
366,ETL,"Extract, Transform & Load",,,0,0,0
368,EUCS,End User Compute Services,,,0,0,0
369,Ex-ASP,Ex-Armed Service Personnel,,,0,0,0
370,ExCo,Executive Comity Board,,Permanent Secutary and Director Generals (6 of).,0,0,0
371,EXHIBIT,See XHIBIT,,,0,0,0
372,Exhibit,Database co-ordinated by Crown Courts,,,0,0,0
373,EXISS,Exchange Integration Services Stream,,,0,0,0
376,F2050,prisoner core record,,protected characteristics and case information,0,0.4404,0
378,FaSO,Family and Significant Other,,,0,0,0
380,FCO,Foreign and Commonwealth Office,,,0,0,0
382,FDR,Fast Delivery Report,,,0,0,0
385,FiAP,Find a Prisoner service,,,0,0,0
386,FITS,Future IT Sourcing Programme,,,0,0.4019,0
387,FLO,Family Liaison Officer,,,0,0,0
388,FMB,Functional Mailbox,,,0,0,0
390,FNC,First Night Centre,,"A unit or wing dedicated to people newly arriving in prison. Allows them to be observed easier in cases of detox, medical issues, self-harm etc. Often these wings have different observation hatches in the door to a normal wing, allowing for easier observation & issuing of medications to people without having to open the door during patrol state",0.440909091,0.6486,0
391,FNP,Foreign National Prison or Foreign National Prisoner,,,0,0,0
392,FOCUS,FOCUS,,Substance Misuse Programme (no longer running).,0,0,0
393,FOI,Freedom of Information,,The Freedom of Information Act 2000 created a public 'right of access' to information held by public authorities.,0.223015873,0.7351,0
397,FRPS,Financial Resources and Payment for Services,,,0,0,0
398,FSAS,Finance and Strategy Analytical Service,,,0,0,0
399,FTE,Full Time Equivalent,,,0,0,0
400,FTR,Fixed Term Recall,,,0,0,0
401,G&O,Governance & Operational Data,,,0,0,0
402,GAL,Global Address List,,,0,0,0
403,GBS,Government Banking Service,,,0,0,0
404,GDS,Government Digital Service,,,0,0,0
406,GIAA,Government Internal Audit Agency,,,0,0,0
407,GIRR,Government Information Risk Return,,,0,0,0
409,GL,General ledger,,,0,0,0
413,GORS,Government Operational Research Services,,Operational research (also known as 'management science') is the application of scientific methods to management problems.,0,-0.4019,0
414,GPC,Government Procurement Card,,"Like a credit card, but with additional public sector controls etc. Divisions can use it for small purchases.",0.233333333,0.3716,0
415,GPP,Generic Parole Process,,,0,0,0
417,GSCPP,Government Security Centre People and Physical,,,0,0,0
418,GSI,Government Secure Intranet,,,0,0,0
421,GWS,Government Wide Service,,,0,0,0
425,HDCAD,Home Detention Curfew Approved Date,,,0,0,0
426,HDCED,Home Detention Curfew Eligibility Date,,,0,0,0
428,HLT,HMPPS Leadership Team,,,0,0,0
432,HMG,His Majesty's Government,,,0,0,0
435,HMPPS,HM Prison and Probation Service,,,0,0,0
437,HNA,Health Needs Assessment,,,0,0,0
438,HNA,Hostage Negotiation Advisors,,,0,0,0
440,HoBA,Head of Business Assurance,,,0,0,0
441,HOIT,Home Office IT,,,0,0,0
442,HOMD,Head of Offender Management Delivery,,An individual who can assign POMs to offenders,0.4,-0.3612,0
443,HOPO,Home Office Production Order,,,0,0,0
444,Horizon,Horizon Sex Offender Treatment Programme,,Sex Offender Treatment Programme,0,-0.3612,0
446,HPP,High Performing Prison,,,0,0,0
447,HPT,Homelessness Prevention Team,,,0,0,0
448,HQ,Headquarters,,,0,0,0
449,HR,Human Resources,,,0,0,0
450,HRD,Human Resource & Development,,,0,0,0
451,HRM,Human Resource Management,,,0,0,0
454,HSP / HSF,Healthy Sex Programme / Health Sexual Functioning Programme,,Sex Offender Treatment Programme,0,-0.3612,0
455,HTA,Hierarchical Task Analysis,,,0,0,0
456,HWF,Help with Fees,,"The service formerly known as Fee Remission.Two parts, public and staff-facing",0.033333333,0,0
458,I-SOTP,Internet Sex Offender Treatment Programme,,Sex Offender Treatment Programme (no longer running).,0,-0.3612,0
459,IA,immigration and asylum,,As in 'Immigration and Asylum Tribunal'.,0,0,0
463,IAC,Immigration and Asylum Chamber,,,0,0,0
464,IAC,Intensive Alternative to Custody,,,0,0,0
466,IAPS,Integrated Accredited Programmes System,,,0,0,0
468,ICA,Initial Categorisation Assessment,,,0,0,0
471,IDAP,Government Digital Service's identity assurance programme,,,0,0,0
473,IDPC,Used in Defence request,,,0,0,0
